PV size  (kW);Battery size  (kWh);SSI  (%);SCI  (%);Shared energy  (kWh/year);PV production  (kWh/year);Consumption  (kWh/year);Grid feed  (kWh);Grid purchase  (kWh);Battery charge  (kWh);Battery discharge  (kWh);NPV (€);IRR (%);Energy Sales Next 20 Years (€);Producer Contributions Next 20 Years (€);Non-Producer Contributions Next 20 Years (€);PCR Yearly (%);PBT (Years)
40.0;0.0;33.17;94.11;52160.3;55425.3;157248.6;3265.0;105088.3;0.0;0.0;51550;14.83;3019.4;123682.5;0.0;18.2;7
40.0;10.0;33.98;96.42;53439.8;55425.3;157248.6;1865.8;103808.7;1402.5;1282.8;47890;12.63;1725.4;126716.5;0.0;17.3;8
40.0;20.0;34.59;98.15;54397.8;55425.3;157248.6;817.0;102850.7;2454.5;2244.1;43869;10.83;755.6;128988.2;0.0;16.3;9
45.0;0.0;35.78;90.22;56256.1;62353.4;157248.6;6097.3;100992.5;0.0;0.0;55115;14.27;5638.8;133394.5;0.0;19.5;7
45.0;10.0;36.82;92.86;57900.8;62353.4;157248.6;4300.7;99347.8;1799.0;1647.0;51864;12.41;3977.3;137294.3;0.0;18.8;8
45.0;20.0;37.67;95.00;59237.2;62353.4;157248.6;2839.7;98011.4;3262.3;2985.8;48267;10.86;2626.1;140463.2;0.0;17.9;9
50.0;0.0;38.03;86.32;59806.3;69281.6;157248.6;9475.3;97442.2;0.0;0.0;58032;13.71;8762.7;141812.8;0.0;20.7;7
50.0;10.0;39.23;89.05;61692.3;69281.6;157248.6;7415.3;95556.3;2062.1;1888.1;55051;12.11;6857.7;146284.8;0.0;20.0;8
50.0;20.0;40.30;91.48;63378.9;69281.6;157248.6;5572.5;93869.7;3907.1;3576.8;51847;10.76;5153.4;150284.0;0.0;19.3;9
55.0;0.0;39.97;82.47;62846.7;76209.8;157248.6;13363.0;94401.8;0.0;0.0;60344;13.14;12358.1;149022.2;0.0;21.7;7
55.0;10.0;41.24;85.10;64852.5;76209.8;157248.6;11171.8;92396.1;2193.2;2007.7;57497;11.74;10331.7;153778.2;0.0;21.0;8
55.0;20.0;42.45;87.58;66746.6;76209.8;157248.6;9102.3;90501.9;4264.7;3903.9;54524;10.55;8417.8;158269.6;0.0;20.4;9
